perfil,competenecia_laboral,familia,sector,tipo,estado
supervisión en producción de aceite de semillas y grasas comestibles,"gestionar una unidad o sección en la industria de aceites y grasas, programando, preparando y supervisando los recursos materiales y humanos disponibles, así como los trabajos necesarios para alcanzar los objetivos fijados en los planes de producción, calidad y protección ambiental.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones auxiliares en prospección y exploración geológica,"realizar labores complementarias de prospección y exploración geológica utilizando equipos, herramientas e instrumentos especializados de acuerdo con procedimientos internos establecidos y normativas vigentes.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones de manufactura de productos lacteos,"realizar las operaciones de los procesos de elaboración de los productos lácteos de acuerdo a los procedimientos establecidos, normas de calidad, higiene y sanidad",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones de mantenimiento e instalación de sistemas inmóticos,"realizar el montaje y mantenimiento de sistemas inmóticos, aplicando las técnicas y los procedimientos establecidos, con criterios de calidad y cumpliendo la normativa vigente.",tecnología: hardware y software (incluye tic),actividades de programación y transmisión,oc,habilitado
instalación de redes de fibra óptica,instalar sistemas y redes de fibra óptica de acuerdo a procedimientos y planos establecidos cumpliendo la normativa vigente,tecnología: hardware y software (incluye tic),telecomunicaciones,oc,habilitado
elaboración de azúcar,"realizar las operaciones de extracción y elaboración de azúcar, controlando la depuración de los efluentes ocasionados, actuando según las condiciones establecidas en los manuales de procedimiento y cumpliendo la normativa de calidad, salud, seguridad alimentaria y medio ambiente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
supervisión en procesamiento de productos derivados de cacao,"supervisar los procesos, operación y mantenimiento de los equipos y maquinaria utilizada en la producción de licor, manteca y torta de cacao, aplicando las normas de calidad, normas de inocuidad, normas de seguridad y salud en el trabajo y medio ambiente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones auxiliares en alimentación y nutrición,realizar actividades de apoyo en la prevención de enfermedades transmitidas por alimentos y problemas nutricionales de acuerdo a las buenas prácticas de manufactura y aporte nutricional en la dieta,actividades tipo servicios,otras actividades de servicios personales,oc,habilitado
arbitraje deportivo,arbitrar la competencia deportiva de acuerdo al reglamento establecido en la normativa legal vigente.,actividades tipo servicios,"actividades deportivas, de esparcimiento y recreativas",oc,habilitado
producción de cafés especiales,"establecer la siembra, manejo, cosecha y pos cosecha de cultivos de café, tomando en consideración criterios de diferenciación, buenas prácticas agrícolas y ambientales para garantizar la trazabilidad, consistencia y replicabilidad de los lotes y obtener un café especial de alta calidad y rentabilidad",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
industrialización de productos agropecuarios,"ejecutar operaciones auxiliares de preparación del terreno, siembra, cuidados culturales, recolección, riego, abonado y aplicación de tratamientos fitosanitarios en cultivos agrícolas, cumpliendo la normativa aplicable.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
gestión en procesamiento de alimentos,"realizar las operaciones de apoyo en los procesos productivos de: recepción y preparación de materias primas y productos auxiliares, elaboración y conservación de productos alimentarios, envasado y empaquetado de los mismos, así como manejar carretillas y dispositivos de transporte interno de mercancías, cumpliendo la normativa aplicable.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones de transformación de polímeros termoestables y sus compuestos,"realizar las operaciones de fabricación de moldes de resina y de recepción, preparación y manipulación de termoestables y materiales compuestos de matriz polimérica, para obtener mezclas siguiendo las fórmulas y especificaciones marcadas, y realizar la transformación de dichas mezclas responsabilizándose de la puesta a punto de instalaciones, máquinas y utillaje de fabricación, del mantenimiento de primer nivel, de la calidad de losmateriales y productos, manteniendo en todo momento las condiciones de seguridad y prevención de riesgos laborales y medioambientales.","productos industriales, farmacéuticos y químicos",fabricación de substancias y productos químicos,oc,habilitado
cerámica artística,"desarrollar composiciones de pastas, esmaltes y pigmentos cerámicos, asesorando al cliente y/o usuario en su empleo y resolución de contingencias, de acuerdo a especificaciones técnicas de producto y procesos.","productos industriales, farmacéuticos y químicos",fabricación de substancias y productos químicos,oc,habilitado
análisis químico de productos farmacéuticos,"realizar los estudios y análisis físicos, químicos y microbiológicos de los productos farmacéuticos elaborados conforme a buenas prácticas de manufactura, control de calidad, guías ich, seguridad y políticas internas de la organización.","productos industriales, farmacéuticos y químicos","fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",oc,habilitado
supervisión en la elaboración de productos farmacéuticos,"dirigir, planificar y controlar el proceso de producción de productos farmacéuticos bajo los lineamientos establecidos por el sistema de calidad vigente de acuerdo a las normas y parámetros establecidos en temas de seguridad, salud y medio.","productos industriales, farmacéuticos y químicos","fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",oc,habilitado
fabricación de productos de plástico,"realizar la planificación, ejecución y control de los procedimientos de fabricación de productos de plástico tomando en cuenta las propiedades de los polímeros, la maquinaria y herramienta necesaria para el proceso de fabricación de piezas de plástico en condiciones de seguridad y cuidado del medio ambiente.","productos industriales, farmacéuticos y químicos",fabricación de productos de caucho y plástico,oc,habilitado
vidriería,"producir vitrales por medio de la técnica del emplomado, de acuerdo a normas de seguridad, salud ocupacional y ambiental.","productos industriales, farmacéuticos y químicos",fabricación de otros productos minerales no metálicos,oc,habilitado
gestión en cerámica,"organizar y gestionar la fabricación de pastas y de productos cerámicos conformados, así como la gestión de la calidad y de la protección medioambiental, siguiendo las instrucciones técnicas dadas por los responsables de la planificación y calidad de la producción, asegurando su ejecución con la calidad requerida, dentro del tiempo previsto y en las condiciones de seguridad y ambientales establecidas.","productos industriales, farmacéuticos y químicos",fabricación de otros productos minerales no metálicos,oc,habilitado
