Perfil,Competenecia Laboral,Familia,Sector
INDUSTRIALIZACIÓN DE PRODUCTOS ALIMENTICIOS,"TRANSFORMAR LA MATERIA PRIMA AGROPECUARIA EN PRODUCTOS Y SUB-PRODUCTOS ELABORADOS PARA EL CONSUMO ALIMENTICIO, CONSIDERANDO LAS NORMAS TÉCNICAS VIGENTES, APLICANDO TECNOLOGÍAS AMIGABLES CON EL AMBIENTE Y SISTEMAS DE GESTIÓN DE INOCUIDAD.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
METROLOGÍA CIENTÍFICA,GENERAR PATRONES O MATERIALES DE REFERENCIA DE ACUERDO AL SISTEMA INTERNACIONAL DE UNIDADES S.I.,ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA"
MONTAJE Y MANTENIMIENTO DE INSTALACIONES SOLARES FOTOVOLTÁICAS,EFECTUAR LA INSTALACIÓN Y MANTENIMIENTO DE INSTALACIONES SOLARES FOTOVOLTAICAS SEGÚN EL PROYECTO CUMPLIENDO LA NORMATIVA VIGENTE TÉCNICA Y SE SEGURIDAD VIDENTES.,"ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
OPERACIONES BÁSICAS PARA EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES SOLARES TÉRMICAS,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES, FUNDAMENTALMENTE SOLARES TÉRMICAS, DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.","ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
OPERACIONES DE CARGA FRONTAL,"OPERAR MAQUINARIA DE CARGA FRONTAL PARA FAENAS DE ACOPIO, TRASLADO Y ESTIBA DE CARGA A GRANEL DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA LEGAL VIGENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS
OBTENCIÓN DE ACEITES DE SEMILLAS Y GRASAS,"REALIZAR OPERACIONES DE OBTENCIÓN DE ACEITES DE SEMILLAS Y DE GRASAS COMESTIBLES, PREPARANDO LA MAQUINARIA Y EQUIPOS, REALIZANDO Y CONTROLANDO LAS FASES DE RECEPCIÓN, LIMPIEZA, SECADO, ALMACENAMIENTO DE MATERIA PRIMA, ASÍ COMO LAS ACTIVIDADES DE TRATAMIENTO, ELABORACIÓN, EXTRACCIÓN Y ENVASADO DE ACEITES DE SEMILLAS Y GRASAS DE ACUERDO A LA NORMATIVA DE CALIDAD Y SEGURIDAD ALIMENTARIA.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
SUPERVISIÓN EN PRODUCCIÓN DE ACEITE DE SEMILLAS Y GRASAS COMESTIBLES,"GESTIONAR UNA UNIDAD O SECCIÓN EN LA INDUSTRIA DE ACEITES Y GRASAS, PROGRAMANDO, PREPARANDO Y SUPERVISANDO LOS RECURSOS MATERIALES Y HUMANOS DISPONIBLES, ASÍ COMO LOS TRABAJOS NECESARIOS PARA ALCANZAR LOS OBJETIVOS FIJADOS EN LOS PLANES DE PRODUCCIÓN, CALIDAD Y PROTECCIÓN AMBIENTAL.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES AUXILIARES EN PROSPECCIÓN Y EXPLORACIÓN GEOLÓGICA,"REALIZAR LABORES COMPLEMENTARIAS DE PROSPECCIÓN Y EXPLORACIÓN GEOLÓGICA UTILIZANDO EQUIPOS, HERRAMIENTAS E INSTRUMENTOS ESPECIALIZADOS DE ACUERDO CON PROCEDIMIENTOS INTERNOS ESTABLECIDOS Y NORMATIVAS VIGENTES.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES DE MANUFACTURA DE PRODUCTOS LACTEOS,"REALIZAR LAS OPERACIONES DE LOS PROCESOS DE ELABORACIÓN DE LOS PRODUCTOS LÁCTEOS DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS, NORMAS DE CALIDAD, HIGIENE Y SANIDAD",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES DE MANTENIMIENTO E INSTALACIÓN DE SISTEMAS INMÓTICOS,"REALIZAR EL MONTAJE Y MANTENIMIENTO DE SISTEMAS INMÓTICOS, APLICANDO LAS TÉCNICAS Y LOS PROCEDIMIENTOS ESTABLECIDOS, CON CRITERIOS DE CALIDAD Y CUMPLIENDO LA NORMATIVA VIGENTE.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN
INSTALACIÓN DE REDES DE FIBRA ÓPTICA,INSTALAR SISTEMAS Y REDES DE FIBRA ÓPTICA DE ACUERDO A PROCEDIMIENTOS Y PLANOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),TELECOMUNICACIONES
ELABORACIÓN DE AZÚCAR,"REALIZAR LAS OPERACIONES DE EXTRACCIÓN Y ELABORACIÓN DE AZÚCAR, CONTROLANDO LA DEPURACIÓN DE LOS EFLUENTES OCASIONADOS, ACTUANDO SEGÚN LAS CONDICIONES ESTABLECIDAS EN LOS MANUALES DE PROCEDIMIENTO Y CUMPLIENDO LA NORMATIVA DE CALIDAD, SALUD, SEGURIDAD ALIMENTARIA Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
SUPERVISIÓN EN PROCESAMIENTO DE PRODUCTOS DERIVADOS DE CACAO,"SUPERVISAR LOS PROCESOS, OPERACIÓN Y MANTENIMIENTO DE LOS EQUIPOS Y MAQUINARIA UTILIZADA EN LA PRODUCCIÓN DE LICOR, MANTECA Y TORTA DE CACAO, APLICANDO LAS NORMAS DE CALIDAD, NORMAS DE INOCUIDAD, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES AUXILIARES EN ALIMENTACIÓN Y NUTRICIÓN,REALIZAR ACTIVIDADES DE APOYO EN LA PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS Y PROBLEMAS NUTRICIONALES DE ACUERDO A LAS BUENAS PRÁCTICAS DE MANUFACTURA Y APORTE NUTRICIONAL EN LA DIETA,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
ARBITRAJE DEPORTIVO,ARBITRAR LA COMPETENCIA DEPORTIVA DE ACUERDO AL REGLAMENTO ESTABLECIDO EN LA NORMATIVA LEGAL VIGENTE.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS"
PRODUCCIÓN DE CAFÉS ESPECIALES,"ESTABLECER LA SIEMBRA, MANEJO, COSECHA Y POS COSECHA DE CULTIVOS DE CAFÉ, TOMANDO EN CONSIDERACIÓN CRITERIOS DE DIFERENCIACIÓN, BUENAS PRÁCTICAS AGRÍCOLAS Y AMBIENTALES PARA GARANTIZAR LA TRAZABILIDAD, CONSISTENCIA Y REPLICABILIDAD DE LOS LOTES Y OBTENER UN CAFÉ ESPECIAL DE ALTA CALIDAD Y RENTABILIDAD",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
INDUSTRIALIZACIÓN DE PRODUCTOS AGROPECUARIOS,"EJECUTAR OPERACIONES AUXILIARES DE PREPARACIÓN DEL TERRENO, SIEMBRA, CUIDADOS CULTURALES, RECOLECCIÓN, RIEGO, ABONADO Y APLICACIÓN DE TRATAMIENTOS FITOSANITARIOS EN CULTIVOS AGRÍCOLAS, CUMPLIENDO LA NORMATIVA APLICABLE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
GESTIÓN EN PROCESAMIENTO DE ALIMENTOS,"REALIZAR LAS OPERACIONES DE APOYO EN LOS PROCESOS PRODUCTIVOS DE: RECEPCIÓN Y PREPARACIÓN DE MATERIAS PRIMAS Y PRODUCTOS AUXILIARES, ELABORACIÓN Y CONSERVACIÓN DE PRODUCTOS ALIMENTARIOS, ENVASADO Y EMPAQUETADO DE LOS MISMOS, ASÍ COMO MANEJAR CARRETILLAS Y DISPOSITIVOS DE TRANSPORTE INTERNO DE MERCANCÍAS, CUMPLIENDO LA NORMATIVA APLICABLE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOESTABLES Y SUS COMPUESTOS,"REALIZAR LAS OPERACIONES DE FABRICACIÓN DE MOLDES DE RESINA Y DE RECEPCIÓN, PREPARACIÓN Y MANIPULACIÓN DE TERMOESTABLES Y MATERIALES COMPUESTOS DE MATRIZ POLIMÉRICA, PARA OBTENER MEZCLAS SIGUIENDO LAS FÓRMULAS Y ESPECIFICACIONES MARCADAS, Y REALIZAR LA TRANSFORMACIÓN DE DICHAS MEZCLAS RESPONSABILIZÁNDOSE DE LA PUESTA A PUNTO DE INSTALACIONES, MÁQUINAS Y UTILLAJE DE FABRICACIÓN, DEL MANTENIMIENTO DE PRIMER NIVEL, DE LA CALIDAD DE LOSMATERIALES Y PRODUCTOS, MANTENIENDO EN TODO MOMENTO LAS CONDICIONES DE SEGURIDAD Y PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS
CERÁMICA ARTÍSTICA,"DESARROLLAR COMPOSICIONES DE PASTAS, ESMALTES Y PIGMENTOS CERÁMICOS, ASESORANDO AL CLIENTE Y/O USUARIO EN SU EMPLEO Y RESOLUCIÓN DE CONTINGENCIAS, DE ACUERDO A ESPECIFICACIONES TÉCNICAS DE PRODUCTO Y PROCESOS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS
ANÁLISIS QUÍMICO DE PRODUCTOS FARMACÉUTICOS,"REALIZAR LOS ESTUDIOS Y ANÁLISIS FÍSICOS, QUÍMICOS Y MICROBIOLÓGICOS DE LOS PRODUCTOS FARMACÉUTICOS ELABORADOS CONFORME A BUENAS PRÁCTICAS DE MANUFACTURA, CONTROL DE CALIDAD, GUÍAS ICH, SEGURIDAD Y POLÍTICAS INTERNAS DE LA ORGANIZACIÓN.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO"
SUPERVISIÓN EN LA ELABORACIÓN DE PRODUCTOS FARMACÉUTICOS,"DIRIGIR, PLANIFICAR Y CONTROLAR EL PROCESO DE PRODUCCIÓN DE PRODUCTOS FARMACÉUTICOS BAJO LOS LINEAMIENTOS ESTABLECIDOS POR EL SISTEMA DE CALIDAD VIGENTE DE ACUERDO A LAS NORMAS Y PARÁMETROS ESTABLECIDOS EN TEMAS DE SEGURIDAD, SALUD Y MEDIO.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO"
FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,"REALIZAR LA PLANIFICACIÓN, EJECUCIÓN Y CONTROL DE LOS PROCEDIMIENTOS DE FABRICACIÓN DE PRODUCTOS DE PLÁSTICO TOMANDO EN CUENTA LAS PROPIEDADES DE LOS POLÍMEROS, LA MAQUINARIA Y HERRAMIENTA NECESARIA PARA EL PROCESO DE FABRICACIÓN DE PIEZAS DE PLÁSTICO EN CONDICIONES DE SEGURIDAD Y CUIDADO DEL MEDIO AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO
VIDRIERÍA,"PRODUCIR VITRALES POR MEDIO DE LA TÉCNICA DEL EMPLOMADO, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS
GESTIÓN EN CERÁMICA,"ORGANIZAR Y GESTIONAR LA FABRICACIÓN DE PASTAS Y DE PRODUCTOS CERÁMICOS CONFORMADOS, ASÍ COMO LA GESTIÓN DE LA CALIDAD Y DE LA PROTECCIÓN MEDIOAMBIENTAL, SIGUIENDO LAS INSTRUCCIONES TÉCNICAS DADAS POR LOS RESPONSABLES DE LA PLANIFICACIÓN Y CALIDAD DE LA PRODUCCIÓN, ASEGURANDO SU EJECUCIÓN CON LA CALIDAD REQUERIDA, DENTRO DEL TIEMPO PREVISTO Y EN LAS CONDICIONES DE SEGURIDAD Y AMBIENTALES ESTABLECIDAS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS
SOLDADURA EN PROCESO GTAW SOLDADURA POR ARCO CON TUNGSTENO Y GAS,"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS COMO LÁMINAS Y TUBOS DE ACERO AL CARBONO Y ACERO INOXIDABLE EN ESTRUCTURAS METÁLICAS LIGERAS, UTILIZANDO EL PROCESO DE SOLDADURA POR ARCO CON TUNGSTENO Y GAS (GTAW); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCION AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
"OPERACIONES DE INSTALACIÓN DE CABLEADO ESTRUCTURADO, REDES DE DATOS, TELEFONÍA O VIDEO","INSTALAR EL SISTEMA DE CABLEADO ESTRUCTURADO PARA REDES DE DATOS, TELEFONÍA O VIDEO SEGÚN REQUERIMIENTOS ESTABLECIDOS CUMPLIENDO NORMATIVA NACIONAL E INTERNACIONAL VIGENTE.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),TELECOMUNICACIONES
OPERACIONES EN CUBIERTA Y PARQUE DE PESCA DE BARCOS PESQUEROS,"EJECUTAR LAS OPERACIONES DE MANTENIMIENTO, MANIOBRAS, MONTAJE Y REPARACIÓN DE ARTES Y APAREJOS, ASÍ COMO DE CLASIFICACIÓN Y CONSERVACIÓN DE LAS ESPECIES CAPTURADAS Y SU ESTIBA EN LAS BODEGAS, DE ACUERDO A LAS INSTRUCCIONES DEL SUPERIOR Y NORMAS HIGIÉNICO-SANITARIAS Y DE SEGURIDAD ESTABLECIDAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
PINTURA Y CERÁMICA,"REALIZAR OBRAS ARTÍSTICAS EN CERÁMICA Y PINTURA, CON CREATIVIDAD, CRITERIO ESTÉTICO Y SOPORTE CONCEPTUAL, UTILIZANDO Y MANTENIENDO LAS INSTALACIONES Y EQUIPOS DEL TALLER EN ÓPTIMAS CONDICIONES, APLICANDO NORMAS DE SEGURIDAD PARA LA SALUD Y PROTECCIÓN DEL MEDIO AMBIENTE, ASÍ COMO ORGANIZANDO Y ADMINISTRANDO TALLERES DE ARTE Y DIFUNDIENDO LA OBRA CON FINES CULTURALES, COMERCIALES Y CON RESPONSABILIDAD SOCIAL.",ACTIVIDADES COMUNITARIAS,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS
OPERACIÓN DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE CAUCHO,"OPERAR Y CONTROLAR LOS EQUIPOS, MAQUINARIA Y MATERIALES UTILIZADOS EN LOS PROCESOS DE MEZCLADO, PREPARACIÓN DE PARTES, ENSAMBLE, VULCANIZADO Y ACABADO FINAL PARA LA OBTENCIÓN DE PRODUCTOS DE CAUCHO EN BASE A ESPECIFICACIONES TÉCNICAS, NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTALES.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO
OPERACIONES GEODÉSICAS,"OBTENER INFORMACIÓN GEODÉSICA MEDIANTE LA OPERACIÓN DE EQUIPOS Y SOFTWARE ESPECIALIZADO, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS
PROMOCIÓN DEL PATRIMONIO CULTURAL,"CONTRIBUIR A LA PRESERVACIÓN, CONSERVACIÓN Y VALORACIÓN DEL PATRIMONIO CULTURAL DE ACUERDO A LA NORMATIVA VIGENTE.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
SEGURIDAD INFORMÁTICA CON ORIENTACIÓN AL USO DE TECNOLOGÍAS LIBRES,"ESTABLECER LA SEGURIDAD DE LOS ACCESOS Y USOS DE LA INFORMACIÓN REGISTRADA EN EQUIPOS INFORMÁTICOS, ASÍ COMO DEL PROPIO SISTEMA, PROTEGIÉNDOLO DE LAS POSIBLES INCIDENCIAS, IDENTIFICANDO VULNERABILIDADES Y APLICANDO SISTEMAS DE CIFRADO A LAS COMUNICACIONES QUE SE REALICEN HACIA EL EXTERIOR Y EN EL INTERIOR DE LA ORGANIZACIÓN.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN
SUPERVISIÓN DE SERVICIOS BANCARIOS,"REALIZAR ACTIVIDADES DE SUPERVISIÓN A LAS OPERACIONES DE SERVICIOS BANCARIOS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA LEGAL VIGENTE.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES"
SUPERVISIÓN EN LIMPIEZA DE UNIDADES DE SALUD,REALIZAR LA SUPERVISIÓN Y CONTROL DE LAS OPERACIONES DE LIMPIEZA DE UNIDADES DE SALUD Y MANEJO INTEGRAL DE DESECHOS SANITARIOS DE ACUERDO A PROTOCOLOS ESTABLECIDOS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS
SUPERVISIÓN DEL MANEJO DE CADENA DE FRIO EN POST-PRODUCCIÓN,"SUPERVISAR Y CONTROLAR LOS PROCESOS DE MANEJO DE PRODUCTOS BAJO CADENAS DE FRÍO, PARA GARANTIZAR LA CALIDAD E INOCUIDAD DE LOS ALIMENTOS, APLICANDO LAS BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO, Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ASISTENCIA DE CONTROL DE CALIDAD EN LA TRANSFORMACIÓN DE ALIMENTOS,EJECUTAR LAS ACTIVIDADES DE APOYO Y ASISTENCIA OPERATIVA NECESARIA PARA LA REALIZACIÓN DE LOS ENSAYOS Y ANÁLISIS QUÍMICOS Y MICROBIOLÓGICOS EN LABORATORIOS DEL SECTOR AGROALIMENTARIO.,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ELABORACIÓN DE PRODUCTOS PARA ALIMENTACIÓN ANIMAL,"REALIZAR LAS OPERACIONES DE RECEPCIÓN DE MATERIAS PRIMAS, LOS TRATAMIENTOS PREVIOS PREPARATORIOS DE LAS MISMAS, LA ELABORACIÓN Y ENVASADO DE PRODUCTOS HÚMEDOS, PRODUCTOS SECOS Y PREMEZCLAS VITAMINICOMINERALES Y MEDICAMENTOSAS CON DESTINO A LA ALIMENTACIÓN ANIMAL, EN LAS CONDICIONES ESTABLECIDAS EN EL MANUAL DE CALIDAD, APLICANDO LAS BUENAS PRÁCTICAS DE FABRICACIÓN Y DE MANIPULACIÓN, DEL SISTEMA DE ANÁLISIS DE PELIGROS Y PUNTOS CRÍTICOS DE CONTROL Y EL SISTEMA DE TRAZABILIDAD, CUMPLIENDO LA NORMATIVA TÉCNICO-SANITARIA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES ESPECIALIZADAS EN ELABORACIÓN DE CERVEZA,"REALIZAR OPERACIONES PARA LA ELABORACIÓN DE MOSTOS, MALTAS Y CERVEZAS DE ACUERDO A NORMAS DE CALIDAD, HIGIENE Y SEGURIDAD EN EL TRABAJO E INOCUIDAD ALIMENTARIA.",PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
ELABORACIÓN DE REFRESCOS Y AGUAS DE BEBIDA ENVASADAS,"REALIZAR LAS OPERACIONES DE RECEPCIÓN, ALMACENAMIENTO DE MATERIAS PRIMAS, ELABORACIÓN Y EMBOTELLADO DE REFRESCOS Y DE AGUAS DE BEBIDAS ENVASADAS, ASÍ COMO LA APLICACIÓN DE LOS TRATAMIENTOS POSTERIORES DE CONSERVACIÓN, EN LAS CONDICIONES ESTABLECIDAS EN LOS MANUALES DE PROCEDIMIENTO Y CALIDAD.",PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
HILATURA MANUAL,"PRODUCIR HILOS TINTURADOS CON COLORES NATURALES, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL. GESTIONAR UN TALLER O MICROEMPRESA Y COMERCIALIZAR LOS PRODUCTOS.",ARTESANÍAS,FABRICACIÓN DE PRODUCTOS TEXTILES
TEJEDURÍA DE ALFOMBRAS,"PRODUCIR ALFOMBRAS DESARROLLANDO LAS TÉCNICAS ANCESTRALES, CONSIDERANDO LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL; LA PROTECCIÓN AMBIENTAL Y AUTENTICIDAD CULTURAL.",ARTESANÍAS,FABRICACIÓN DE PRODUCTOS TEXTILES
"ELABORACIÓN DE PROCESOS TÉCNICOS PARA LA PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES","EJECUTAR LOS TRABAJOS TÉCNICOS COMPLEMENTARIOS DE PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES MEDIANTE LA APLICACIÓN DE CONOCIMIENTOS, LA OPERACIÓN DE MAQUINARIA Y EL CUMPLIMIENTO DE NORMAS DE SALUD Y SEGURIDAD OCUPACIONAL","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
"SUPERVISIÓN DE PRODUCCIÓN Y DISEÑO DE CONFECCIONADOS A PARTIR DE HILATURAS, TEJEDURÍAS Y PIELES","PRODUCIR ARTÍCULOS CONFECCIONADOS DE HILATURAS, TEJEDURÍAS Y PIELES CURTIDAS ASEGURANDO LA CALIDAD EN LOS PRODUCTOS SIGUIENDO NORMAS ESTABLECIDAS EN LAS GUÍAS DE CONTROL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
"VERIFICACIÓN Y ASESORÍA DE CALIDAD EN LA PRODUCCIÓN DE CONFECCIONADOS DE HILATURAS, TEJEDURÍAS Y PIELES",CONTROLAR LA CALIDAD EN LAS ETAPAS PRODUCTIVAS AL IGUAL QUE ASESORAR EN LA COMPRA DE INSUMOS Y PRODUCTOS INTERMEDIOS EXTERNOS A LA EMPRESA CUIDANDO LA CALIDAD Y SIGUIENDO LOS LINEAMIENTOS EMITIDOS POR EL DEPARTAMENTO DE CALIDAD Y PRODUCCIÓN.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
GESTIÓN TEXTIL,"COLABORAR EN EL DESARROLLO DE TEXTILES TÉCNICOS MEDIANTE LA APLICACIÓN DE LA INNOVACIÓN TECNOLÓGICA, LOGRANDO PRODUCTOS QUE CUMPLAN PRESTACIONES APTAS PARA SU COMERCIALIZACIÓN, VERIFICANDO LAS CARACTERÍSTICAS TÉCNICAS Y EL CUMPLIMIENTO DE LAS NORMATIVAS MEDIANTE ANÁLISIS Y ENSAYOS TÉCNICOS Y ADAPTANDO LOS PROCESOS DE FABRICACIÓN PARA ASEGURAR LA CALIDAD PREVISTA, ASÍ COMO LA PRESERVACIÓN DE LOS RIESGOS PERSONALES Y AMBIENTALES.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR
OPERACIONES ESPECIALIZADAS EN PROCESOS DE TINTURA Y ENGRASE DE PIELES,"REALIZAR LAS TINTURAS Y ENGRASES DE LAS PIELES, CON AUTONOMÍA Y RESPONSABILIDAD, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS NECESARIOS PARA CONSEGUIR LA PRODUCCIÓN CON LA CALIDAD REQUERIDA EN LOS PLAZOS PREVISTOS, CON SOSTENIBILIDAD MEDIOAMBIENTAL, Y EN LAS CONDICIONES DE SEGURIDAD ESTABLECIDAS EN EL PLAN DE PREVENCIÓN DE RIESGOS LABORALES.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR
